Player,Team,Position,Age,Salary,KoH Team,GP,G,A,PIM,SOG,GWG,PPP,SHP,Hit,Blk,FOW
Mike Cornell,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Philippe Cornet,WSH,LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matthew Coronato,CGY,LW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Frank Corrado,TOR,D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matthew Corrente,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
William Corrin,(N/A),D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Enzo Corvi,(N/A),C,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joe Corvo,(N/A),D,44,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cole Coskey,NYI,RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matteo Costantini,BUF,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jeff Costello,TBL,LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Arvid Costmar,VAN,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Wyatt Cota,(N/A),D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brett Cote,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jean-Philippe Cote,(N/A),D,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Paul Cotter,VGK,C,21,780000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Cotton,DET,D,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Cotton,CAR,C,24,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Jason Cotton,CAR,C,26,725000,FA,0,0,0,0,0,0,0,0,0,0,0
Liam Coughlin,CHI,C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alex Coulombe,(N/A),D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Patrick Coulombe,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Courtnall,(N/A),LW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Derek Couture,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Josh Couturier,PHI,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jared Cowen,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Corey Cowick,(N/A),LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joe Cox,MTL,RW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Trevor Cox,(N/A),LW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jace Coyle,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joey Crabb,(N/A),RW,38,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Adam Cracknell,EDM,C,36,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Lukas Craggs,NSH,LW,25,925000,FA,0,0,0,0,0,0,0,0,0,0,0
Graeme Craig,EDM,D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joseph Cramarossa,MIN,C,28,700000,FA,4,0,1,15,3,0,0,0,10,1,0
Chris Crane,(N/A),RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marcus Crawford,(N/A),D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Crawford,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Crawley,NYR,D,24,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Troy Crema,(N/A),RW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andrew Crescenzi,(N/A),C,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jackson Cressey,(N/A),RW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Antoine Crete-Belzile,(N/A),D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Louis Crevier,CHI,D,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marc-Olivier Crevier-Morin,NYR,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kyle Criscuolo,DET,C,29,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Connor Crisp,(N/A),C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kyle Crnkovic,(N/A),LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
B.J. Crombeen,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Angus Crookshank,OTT,LW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tommy Cross,FLA,D,31,750000,FA,0,0,0,0,0,0,0,0,0,0,0
Cameron Crotty,ARI,D,22,925000,FA,0,0,0,0,0,0,0,0,0,0,0
Paul Crowder,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Maxwell Crozier,TBL,D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Victor Crus Rydberg,NYI,C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ralph Cuddemi,(N/A),LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Diego Cuglietta,(N/A),LW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Karlis Cukste,SJS,D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jakub Culek,OTT,LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Culkin,MTL,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Cullen,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Will Cullen,(N/A),D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Patrick Cullity,(N/A),D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tyler Cuma,MIN,D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kyle Cumiskey,(N/A),D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mark Cundari,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cam Cunning,(N/A),LW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Craig Cunningham,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Luca Cunti,TBL,C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Gianluca Curcuruto,CBJ,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kodie Curran,ANA,D,31,1000000,FA,0,0,0,0,0,0,0,0,0,0,0
Josh Currie,PIT,C,28,700000,FA,1,0,0,0,0,0,0,0,0,0,2
Patrick Curry,(N/A),LW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sean Curry,(N/A),D,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jakub Cutta,(N/A),D,39,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Will Cuylle,NYR,LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Cyr,(N/A),C,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Austin Czarnik,NYI,C,28,700000,FA,4,0,0,0,2,0,0,0,2,2,7
Robert Czarnik,(N/A),C,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Scott Czarnowczan,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Drew Czerwonka,EDM,LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kevin Czuczman,PIT,D,30,700000,FA,2,0,0,0,2,0,0,0,1,2,0
Matt D'Agostini,(N/A),RW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick D'Agostino,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Patrick D'Amico,(N/A),C,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jerry D'Amigo,BUF,RW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dominic D'Amour,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexis D'Aoust,WPG,RW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Charle-Edouard D'Astous,(N/A),D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonathan D'Aversa,(N/A),D,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Stephane Da Costa,(N/A),C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Colton Dach,CHI,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Simon Dahl,(N/A),RW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Klas Dahlbeck,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonathan Dahlen,SJS,C,23,750000,PHI,0,0,0,0,0,0,0,0,0,0,0
Andreas Dahlstrom,ANA,C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Carl Dahlstrom,VGK,LW,26,900000,FA,0,0,0,0,0,0,0,0,0,0,0
John Dahlstrom,CHI,RW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nicolas Daigle,(N/A),C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Dalhuisen,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marek Daloga,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Riley Damiani,DAL,C,21,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Dexter Dancs,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Danforth,(N/A),RW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Daniels,SJS,C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Hugo Danielsson,(N/A),D,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Simon Danis-Pepin,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marko Dano,WPG,C,26,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Danton,(N/A),C,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jean-Michel Daoust,(N/A),RW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Philippe Daoust,OTT,LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cam Darcy,STL,C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexandr Darin,ARI,RW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Daryin,(N/A),RW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dan DaSilva,SJS,RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Pavel Datsyuk,ARI,C,43,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kaspars Daugavins,(N/A),LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Laurent Dauphin,MTL,C,26,750000,LAK,0,0,0,0,0,0,0,0,0,0,0
Brandon Davidson,BUF,D,29,700000,FA,6,0,0,4,7,0,0,0,14,5,0
Dawson Davidson,ANA,D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonathan Davidsson,OTT,RW,24,787500,ANH,0,0,0,0,0,0,0,0,0,0,0
Marcus Davidsson,BUF,C,22,500000,VAN,0,0,0,0,0,0,0,0,0,0,0
Jeremy Davies,NSH,D,24,925000,FA,16,0,1,8,19,0,0,0,11,7,0
Brett Davis,DAL,RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kevin Davis,COL,D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nathan Davis,CHI,LW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Patrick Davis,(N/A),C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Rob Davison,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nigel Dawes,(N/A),LW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brian Day,NYI,RW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Logan Day,(N/A),D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sean Day,TBL,D,23,700000,FA,0,0,0,0,0,0,0,0,0,0,0
John de Gray,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
James De Haas,PHI,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Paul De Jersey,(N/A),RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brendan De Jong,CAR,D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ethan De Jong,(N/A),RW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nolan De Jong,(N/A),D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aidan De La Gorgendiere,(N/A),D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jacob de la Rose,STL,C,26,700000,FA,13,0,1,7,13,0,0,0,22,8,34
Chase De Leo,ANA,C,25,700000,CLS,1,0,0,0,1,0,0,0,1,0,4
Mathieu De St. Phalle,(N/A),RW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jeff de Wit,DET,LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jean-Sebastien Dea,BUF,C,27,700000,FA,1,0,0,2,2,0,0,0,0,0,0
Zach Dean,VGK,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tony DeAngelo,(N/A),D,25,4800000,FA,6,0,1,4,13,0,1,0,3,6,0
Derek DeBlois,(N/A),RW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matthew Deblouw,CGY,C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Robby Dee,EDM,C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon DeFazio,DAL,LW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marvin Degon,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tony DeHart,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anthony Del Gaizo,(N/A),LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Marc Del Gaizo,NSH,D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ethan Del Mastro,CHI,D,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dan Delisle,CHI,C,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Steven Delisle,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Stefan Della Rovere,TOR,LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Delnov,FLA,LW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
James DeLory,(N/A),D,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anthony Deluca,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Demelis,(N/A),LW,22,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Julien Demers,SJS,D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Slava Demin,CHI,D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mitchell Dempsey,BOS,LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Maxim Denezhkin,EDM,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Denham,WPG,RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Simon Denis,(N/A),D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Grigori Denisenko,FLA,LW,21,925000,TB,7,0,4,2,6,0,0,0,15,2,1
Vladimir Denisov,(N/A),D,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Chad Denny,PHI,D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Semyon Der-Arguchintsev,TOR,C,20,800000,FA,0,0,0,0,0,0,0,0,0,0,0
Alexander Dergachyov,LAK,C,24,500000,LAK,0,0,0,0,0,0,0,0,0,0,0
Roman Derlyuk,FLA,D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dan DeSalvo,WSH,C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jason DeSantis,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Guillaume Desbiens,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nicolas Deschamps,(N/A),LW,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jaedon Descheneau,(N/A),RW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Luc Deschenes,(N/A),D,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Desharnais,(N/A),C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vincent Desharnais,EDM,D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick DeSimone,NYR,D,26,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Philip DeSimone,MTL,LW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andrew Desjardins,NYR,LW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Gabriel Desjardsins,COL,LW,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Elliot Desnoyers,PHI,LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Chris DeSousa,(N/A),LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Simon Despres,MTL,D,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Stephen Desrocher,(N/A),D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Charlie Desroches,(N/A),D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cedric Desruisseaux,(N/A),C,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jamie Devane,PIT,LW,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Andre Deveaux,(N/A),C,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jack Devine,(N/A),RW,17,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jimmy Devito,(N/A),C,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Devlin,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Philip-Michael Devos,(N/A),C,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Connor Dewar,MIN,C,22,842500,FA,0,0,0,0,0,0,0,0,0,0,0
Thomas Di Pauli,(N/A),C,27,700000,SENS,0,0,0,0,0,0,0,0,0,0,0
Jonathan-Ismael Diaby,NSH,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joe Diamond,WSH,LW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Raphael Diaz,(N/A),D,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin DiBenedetto,(N/A),C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Josh Dickinson,COL,C,23,925000,FA,0,0,0,0,0,0,0,0,0,0,0
Tanner Dickinson,STL,C,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Josiah Didier,BOS,D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Devin DiDiomete,(N/A),LW,33,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ivan Didkovsky,(N/A),RW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Christopher DiDomenico,(N/A),C,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Darren Dietz,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Anthony DiFruscia,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cristiano Digiacinto,TBL,LW,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Grigory Dikushin,(N/A),LW,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Peter Diliberatore,VGK,D,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Rob DiMaio,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Niko Dimitrakos,VAN,RW,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jeff Dimmen,(N/A),D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cam Dineen,ARI,D,23,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Dingle,(N/A),LW,37,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jacob Dion,(N/A),D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike DiPaolo,SJS,RW,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Joe DiPenta,ANA,D,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dawson DiPietro,BUF,LW,25,750000,FA,0,0,0,0,0,0,0,0,0,0,0
Jagger Dirk,(N/A),D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jon DiSalvatore,(N/A),RW,40,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tomas Divisek,(N/A),RW,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Stephen Dixon,(N/A),C,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Emil Djuse,FLA,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Josh Doan,ARI,LW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Charlie Dodero,TBL,D,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Dodge,(N/A),RW,35,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kevin Doell,(N/A),C,42,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kayle Doetzel,CGY,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Taylor Doherty,(N/A),D,30,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Teddy Doherty,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Cody Donaghey,(N/A),D,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Donally,(N/A),LW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tyler Donati,OTT,RW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Troy Donnay,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Donnellan,(N/A),D,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dillon Donnelly,COL,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Matt Donovan,(N/A),D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryder Donovan,VGK,C,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jamie Doornbosch,NYI,D,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Daniel Doremus,SJS,RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Casey Dornbach,(N/A),RW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Pavel Dorofeyev,VGK,LW,20,925000,CLS,0,0,0,0,0,0,0,0,0,0,0
Alex Dostie,(N/A),C,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jake Dotchin,(N/A),D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jacob Doty,(N/A),C,28,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jack Dougherty,OTT,D,25,767500,ANH,0,0,0,0,0,0,0,0,0,0,0
Curtis Douglas,DAL,C,21,500000,SENS,0,0,0,0,0,0,0,0,0,0,0
Samuel Dove-McFalls,CGY,LW,24,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Viktor Dovgan,WSH,D,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jim Dowd,(N/A),C,52,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jake Dowell,CHI,C,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Liam Dower Nilsson,DET,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aaron Downey,(N/A),RW,46,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Steve Downie,(N/A),LW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Grayson Downing,COL,RW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jack Downing,BOS,RW,32,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Michael Downing,NSH,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Tysen Dowzak,(N/A),D,0,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Braden Doyle,LAK,D,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Chris Doyle,NYR,C,31,500000,FA,0,0,0,0,0,0,0,0,0,0,0
John Draeger,MIN,D,27,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Dallas Drake,(N/A),RW,52,500000,FA,0,0,0,0,0,0,0,0,0,0,0
David Drake,PHI,D,26,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kienan Draper,DET,RW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vladimir Dravecky,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nick Drazenovic,(N/A),C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Hunter Drew,ANA,D,22,760000,FA,0,0,0,0,0,0,0,0,0,0,0
Davis Drewiske,(N/A),D,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Sheldon Dries,COL,C,27,771750,FA,3,0,0,4,1,0,0,0,6,0,0
Grigori Dronov,(N/A),D,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ivan Drozdov,(N/A),RW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jan Drozg,PIT,RW,22,792500,FA,0,0,0,0,0,0,0,0,0,0,0
Jack Drury,CAR,C,21,925000,NSH,0,0,0,0,0,0,0,0,0,0,0
Sergei Dubakin,(N/A),LW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Brandon Dubinsky,CBJ,C,35,5850000,FA,0,0,0,0,0,0,0,0,0,0,0
Pierrick Dube,(N/A),RW,20,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Justin Ducharme,(N/A),RW,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Mike Duco,(N/A),RW,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Aidan Dudas,LAK,C,21,777500,FA,0,0,0,0,0,0,0,0,0,0,0
Joey Dudek,NYI,C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Walker Duehr,(N/A),RW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Ben Duffy,(N/A),C,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Kevin Dufour,(N/A),LW,29,500000,FA,0,0,0,0,0,0,0,0,0,0,0
William Dufour,NYI,RW,19,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Jonathan Dugan,VGK,C,23,925000,NSH,0,0,0,0,0,0,0,0,0,0,0
Brandon Duhaime,MIN,RW,24,925000,FA,0,0,0,0,0,0,0,0,0,0,0
Dylan Duke,TBL,C,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Reid Duke,VGK,C,25,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Darels Dukurs,(N/A),LW,18,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Gabriel Dumont,MIN,C,30,700000,FA,0,0,0,0,0,0,0,0,0,0,0
Ryan Duncan,(N/A),RW,36,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Liam Dunda,STL,LW,23,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Nathan Dunkley,(N/A),C,21,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Vincent Dunn,(N/A),C,25,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Josh Dunne,CBJ,C,22,500000,FA,6,0,0,4,7,0,0,0,12,7,6
Brodie Dupont,(N/A),C,34,500000,FA,0,0,0,0,0,0,0,0,0,0,0
Micki Dupont,(N/A),D,41,500000,FA,0,0,0,0,0,0,0,0,0,0,0
