Player,Team,Position,Age,Salary,KoH Team,GP,G,A,PIM,SOG,GWG,PPP,SHP,Hit,Blk,FOW
Yanni Gourde,SEA,C,29,6300000,SK,56,17,19,44,118,4,6,0,51,21,316
Mike Hoffman,STL,LW,31,4000000,COL,52,17,19,10,113,3,17,0,29,12,6
Dominik Kubalik,CHI,LW,25,4000000,NSH,56,17,21,18,156,1,14,0,57,17,0
Josh Norris,OTT,C,22,925000,SENS,56,17,18,13,96,2,14,0,72,34,379
William Nylander,TOR,RW,25,6000000,PHI,51,17,25,16,133,2,11,0,12,15,13
Artemi Panarin,NYR,LW,29,13000000,NSH,42,17,41,6,106,1,18,0,13,7,0
Jason Robertson,DAL,LW,22,842500,ANH,51,17,28,16,127,3,6,0,28,13,5
Steven Stamkos,TBL,C,31,7500000,ANH,38,17,17,16,91,1,15,1,38,10,238
Brady Tkachuk,OTT,LW,21,925000,SK,56,17,19,69,220,3,10,0,248,23,118
Vincent Trocheck,CAR,C,28,6250000,PHI,47,17,26,20,123,2,18,0,107,28,431
James van Riemsdyk,PHI,LW,32,7000000,ANH,56,17,26,14,132,1,12,0,40,16,9
Alexander Wennberg,FLA,C,26,2250000,MTL,56,17,12,8,82,2,6,1,29,36,388
Miles Wood,NJD,LW,25,3500000,VAN,55,17,8,29,127,2,3,0,38,25,7
Pavel Zacha,NJD,C,24,3000000,TB,50,17,18,10,103,4,11,0,42,10,312
Maxime Comtois,ANA,LW,22,925000,ANH,55,16,17,40,94,3,4,0,93,34,12
Jordan Eberle,SEA,RW,31,7000000,VAN,55,16,17,16,128,2,5,0,30,18,3
Claude Giroux,PHI,C,33,5000000,MIN,54,16,27,12,120,2,11,0,32,6,484
Ryan Nugent-Hopkins,EDM,C,28,5000000,NSH,52,16,19,22,135,2,20,0,26,29,73
Darnell Nurse,EDM,D,26,5600000,SENS,56,16,20,57,154,2,7,0,117,100,0
Brayden Schenn,STL,C,29,8000000,TB,56,16,20,35,113,2,9,0,119,35,319
Yegor Sharangovich,NJD,C,23,792500,VAN,54,16,14,4,114,3,2,1,20,20,26
Jordan Staal,CAR,C,32,6000000,SENS,53,16,22,30,103,4,14,1,135,24,628
Matthew Tkachuk,CGY,LW,23,9000000,ANH,56,16,27,55,151,0,15,0,132,9,3
Cam Atkinson,PHI,RW,32,5275000,PHI,56,15,19,4,158,2,9,4,22,30,7
Nicklas Backstrom,WSH,C,33,10000000,CLS,55,15,38,14,91,0,22,0,25,27,353
Anthony Beauvillier,NYI,LW,24,2400000,MIN,47,15,13,12,109,5,4,0,39,13,2
Andrew Copp,WPG,C,27,2300000,MIN,55,15,24,20,115,1,12,1,67,41,123
Roope Hintz,DAL,LW,24,3000000,TB,41,15,28,4,92,1,18,0,52,15,231
Zach Hyman,TOR,LW,29,2500000,PHI,43,15,18,28,115,4,5,0,69,21,18
Patrick Kane,CHI,RW,32,6900000,VAN,56,15,51,14,191,3,22,0,13,15,2
Alex Killorn,TBL,LW,31,4450000,CHI,56,15,18,37,121,1,9,1,59,12,1
Anthony Mantha,WSH,LW,26,5300000,BOS,56,15,14,25,138,0,4,0,49,27,18
J.T. Miller,VAN,C,28,6000000,SK,53,15,31,43,106,4,18,1,90,24,279
Ondrej Palat,TBL,LW,30,5300000,CHI,55,15,31,26,111,6,20,0,82,43,0
Jesse Puljujarvi,EDM,RW,23,1450000,VAN,55,15,10,16,115,0,4,0,101,20,0
Nick Ritchie,BOS,LW,25,2000000,COL,56,15,11,37,121,2,9,0,102,17,0
Brandon Saad,COL,LW,28,3500000,FA,44,15,9,12,68,1,3,0,16,10,27
Nicholas Suzuki,MTL,C,21,832500,SK,56,15,26,26,110,1,13,2,70,38,350
Andrei Svechnikov,CAR,LW,21,925000,CHI,55,15,27,44,147,1,17,0,114,18,2
Blake Wheeler,WPG,RW,34,10000000,LAK,50,15,31,50,113,2,15,0,63,30,3
Blake Coleman,TBL,C,29,1800000,COL,55,14,17,37,122,3,1,1,109,20,2
Brendan Gallagher,MTL,RW,29,5000000,BOS,35,14,9,16,106,2,3,0,46,12,23
Patric Hornqvist,FLA,RW,34,5300000,NSH,44,14,18,39,145,2,12,0,80,23,2
William Karlsson,VGK,C,28,7100000,CLS,56,14,25,4,111,4,8,1,29,29,518
Clayton Keller,ARI,LW,22,7000000,VAN,56,14,21,18,124,3,10,0,20,14,19
Adrian Kempe,LAK,C,24,2500000,MIN,56,14,15,28,127,2,14,1,47,21,27
Jordan Kyrou,STL,C,23,832500,ANH,55,14,21,12,98,2,3,0,7,13,6
Jared McCann,SEA,C,25,3380000,BOS,43,14,18,8,93,3,10,0,40,17,56
Martin Necas,CAR,RW,22,925000,CLS,53,14,27,10,114,3,11,4,45,32,36
Jean-Gabriel Pageau,NYI,C,28,6500000,BOS,54,14,14,10,81,3,8,2,111,58,472
Conor Sheary,WSH,LW,29,735000,FA,53,14,8,14,88,1,3,0,24,20,3
Reilly Smith,VGK,RW,30,3500000,FA,53,14,11,18,124,1,5,2,46,20,0
Chandler Stephenson,VGK,C,27,3025000,PHI,51,14,21,29,83,5,5,2,43,35,375
Ryan Strome,NYR,C,28,5000000,MIN,56,14,35,39,128,1,18,2,22,18,321
Pius Suter,CHI,C,25,925000,NSH,55,14,13,14,112,3,3,0,28,34,266
Evgenii Dadonov,OTT,RW,32,3500000,FA,55,13,7,4,89,3,1,0,38,26,0
Mikael Granlund,NSH,C,29,3750000,MIN,51,13,14,14,74,1,7,0,46,42,243
Nils Hoglander,VAN,LW,20,825000,MTL,56,13,14,16,118,1,1,0,26,19,1
Alex Iafallo,LAK,LW,27,3500000,COL,55,13,17,4,118,2,8,0,26,39,2
Calle Jarnkrok,SEA,C,29,2200000,FA,49,13,15,14,91,2,8,1,30,15,41
Anze Kopitar,LAK,C,33,8000000,MTL,56,13,37,10,118,4,23,0,45,37,661
Victor Olofsson,BUF,LW,26,3250000,PHI,56,13,19,6,129,0,15,0,17,12,1
Craig Smith,BOS,RW,31,3000000,MIN,54,13,19,18,132,4,6,0,66,8,10
Daniel Sprong,WSH,RW,24,750000,LAK,42,13,7,12,74,3,0,0,28,1,4
Paul Stastny,WPG,C,35,5500000,FA,56,13,16,32,101,4,8,0,38,19,324
Tom Wilson,WSH,RW,27,6100000,MTL,47,13,20,96,83,4,8,1,105,25,11
Mason Appleton,SEA,C,25,900000,FA,56,12,13,14,88,1,0,1,61,22,7
Colin Blackwell,SEA,C,28,750000,FA,47,12,10,15,64,2,5,0,45,19,30
Filip Forsberg,NSH,LW,26,6000000,NSH,39,12,20,16,129,3,13,0,47,14,3
Conor Garland,VAN,LW,25,800000,CLS,49,12,27,26,135,1,10,0,26,19,7
Denis Gurianov,DAL,LW,24,2900000,TB,55,12,18,21,130,2,8,0,63,12,0
Kevin Hayes,PHI,C,29,9000000,BOS,55,12,19,22,127,2,9,0,60,14,234
Adam Henrique,ANA,C,31,5850000,FA,45,12,9,11,77,2,2,1,40,32,303
Mathieu Joseph,TBL,RW,24,700000,FA,56,12,7,10,59,2,2,0,82,15,43
Kevin Labanc,SJS,LW,25,3200000,FA,55,12,16,31,129,2,3,0,61,15,0
Alexis Lafreniere,NYR,LW,19,925000,SK,56,12,9,8,67,4,0,0,43,11,13
Patrik Laine,CBJ,LW,23,7500000,LAK,46,12,12,25,82,1,7,0,36,15,6
Anders Lee,NYI,LW,31,9000000,FA,27,12,7,12,80,3,4,0,39,13,63
Timo Meier,SJS,RW,24,6000000,SENS,54,12,19,22,155,0,10,0,75,24,8
Jeff Petry,MTL,D,33,5000000,NSH,55,12,30,20,128,2,15,1,97,60,0
Jack Roslovic,CBJ,C,24,2500000,PHI,48,12,22,14,85,1,10,0,34,22,232
Tim Stutzle,OTT,C,19,925000,LAK,53,12,17,14,111,2,9,0,50,15,8
Oliver Wahlstrom,NYI,RW,21,925000,BOS,44,12,9,21,94,1,10,0,57,14,5
Jamie Benn,DAL,C,32,8500000,VAN,52,11,24,33,124,2,9,0,73,27,268
Nic Dowd,WSH,C,31,800000,CLS,56,11,4,31,68,3,0,0,109,40,432
Dillon Dube,CGY,LW,23,800000,VAN,51,11,11,20,84,0,2,0,59,14,9
Aaron Ekblad,FLA,D,25,9000000,SK,35,11,11,33,101,3,11,0,24,27,0
Adam Erne,DET,LW,26,997500,FA,45,11,9,26,71,0,6,0,82,16,20
Marcus Foligno,MIN,LW,29,2100000,NSH,39,11,15,49,40,2,0,1,109,17,2
Jack Hughes,NJD,C,20,925000,NSH,56,11,20,16,142,1,7,0,15,15,216
Mattias Janmark,VGK,C,28,2250000,FA,56,11,13,10,95,0,7,1,26,14,21
Nazem Kadri,COL,C,30,4500000,COL,56,11,21,34,170,3,9,0,36,19,392
Kasperi Kapanen,PIT,RW,25,2340000,TB,40,11,19,7,68,3,4,0,41,8,0
Travis Konecny,PHI,C,24,5250000,ANH,50,11,23,26,100,1,11,0,55,16,6
Nico Sturm,MIN,C,26,700000,FA,50,11,6,17,64,2,0,0,48,26,69
Eeli Tolvanen,NSH,RW,22,832500,VAN,40,11,11,4,65,4,12,0,78,16,1
Mats Zuccarello,MIN,RW,33,7500000,PHI,42,11,24,8,74,0,6,0,12,19,11
Viktor Arvidsson,LAK,RW,28,4250000,LAK,50,10,15,21,151,2,3,0,15,33,9
Andreas Athanasiou,LAK,C,26,1200000,VAN,47,10,13,27,85,1,1,0,11,16,4
Sam Bennett,FLA,C,25,2550000,COL,48,10,17,52,106,4,3,0,108,18,124
Nick Bonino,MIN,C,33,4100000,FA,55,10,16,26,66,2,5,0,11,50,365
Michael Bunting,ARI,LW,25,750000,FA,21,10,3,12,38,1,3,0,28,1,7
John Carlson,WSH,D,31,8000000,MTL,52,10,34,12,128,1,15,0,52,69,0
J.T. Compher,COL,C,26,4500000,CLS,48,10,8,19,47,2,2,0,32,38,216
Anthony Duclair,FLA,LW,25,2000000,ANH,43,10,22,18,104,1,2,1,32,9,0
